location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
739,"McMillan Reservoir","bc",1.24,"µg/m³","2019-02-15T14:00:00Z","2019-02-15T09:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",1.03,"µg/m³","2019-02-15T15:00:00Z","2019-02-15T10:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.9,"µg/m³","2019-02-15T16:00:00Z","2019-02-15T11:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.82,"µg/m³","2019-02-15T17:00:00Z","2019-02-15T12:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.93,"µg/m³","2019-02-15T18:00:00Z","2019-02-15T13:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.75,"µg/m³","2019-02-15T19:00:00Z","2019-02-15T14:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.71,"µg/m³","2019-02-15T20:00:00Z","2019-02-15T15:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.83,"µg/m³","2019-02-15T21:00:00Z","2019-02-15T16:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.86,"µg/m³","2019-02-15T22:00:00Z","2019-02-15T17:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.72,"µg/m³","2019-02-15T23:00:00Z","2019-02-15T18:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.71,"µg/m³","2019-02-16T00:00:00Z","2019-02-15T19:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.9,"µg/m³","2019-02-16T01:00:00Z","2019-02-15T20:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.5,"µg/m³","2019-02-16T02:00:00Z","2019-02-15T21:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.23,"µg/m³","2019-02-16T03:00:00Z","2019-02-15T22:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.12,"µg/m³","2019-02-16T04:00:00Z","2019-02-15T23:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.12,"µg/m³","2019-02-16T05:00:00Z","2019-02-16T00:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.12,"µg/m³","2019-02-16T06:00:00Z","2019-02-16T01:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.17,"µg/m³","2019-02-16T07:00:00Z","2019-02-16T02:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.17,"µg/m³","2019-02-16T08:00:00Z","2019-02-16T03:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.15,"µg/m³","2019-02-16T09:00:00Z","2019-02-16T04:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.14,"µg/m³","2019-02-16T10:00:00Z","2019-02-16T05:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.17,"µg/m³","2019-02-16T11:00:00Z","2019-02-16T06:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.18,"µg/m³","2019-02-16T12:00:00Z","2019-02-16T07:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.18,"µg/m³","2019-02-16T13:00:00Z","2019-02-16T08:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.19,"µg/m³","2019-02-16T14:00:00Z","2019-02-16T09:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.24,"µg/m³","2019-02-16T15:00:00Z","2019-02-16T10:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.26,"µg/m³","2019-02-16T16:00:00Z","2019-02-16T11:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.29,"µg/m³","2019-02-16T17:00:00Z","2019-02-16T12:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.3,"µg/m³","2019-02-16T18:00:00Z","2019-02-16T13:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.33,"µg/m³","2019-02-16T19:00:00Z","2019-02-16T14:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.3,"µg/m³","2019-02-16T20:00:00Z","2019-02-16T15:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.22,"µg/m³","2019-02-16T21:00:00Z","2019-02-16T16:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.25,"µg/m³","2019-02-16T22:00:00Z","2019-02-16T17:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.4,"µg/m³","2019-02-17T00:00:00Z","2019-02-16T19:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.42,"µg/m³","2019-02-17T01:00:00Z","2019-02-16T20:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
739,"McMillan Reservoir","bc",0.36,"µg/m³","2019-02-17T02:00:00Z","2019-02-16T21:00:00-05:00","America/New_York",38.921848,-77.013176,,,,"Unknown Governmental Organization","AirNow"
